Label;# Samples;Average;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
1. Open Homepage;2461;3739;0;32155;3550,62;0,00%;0,6246;14,03;2,62;22994,3
2. Choose Category;757;1923;0;21789;2213,39;0,00%;0,19254;0,86;0,26;4594,3
3. Choose Product;754;3453;0;26157;2754,58;0,00%;0,19219;2,85;0,34;15181,1
4. Add to Cart;238;16638;853;56438;10958,6;0,00%;0,0609;0,05;0,04;840,4
5. Click Cart;753;4955;142;45301;9126,56;9,16%;0,19231;0,4;0,11;2148,1
6. Click Checkoutt;515;150;141;358;11,5;0,00%;0,13199;0,13;0,06;1045
7. Login;1510;28960;1507;121446;21417,64;9,01%;0,38358;2,66;1,6;7098,6
8. Fill Payment;509;33996;1;105727;17840,67;17,29%;0,13188;0,16;0,3;1269,8
9. Check Order;1256;6723;1253;31149;4683,4;0,00%;0,3201;1,81;0,31;5792,2
10. Logout;1733;2502;204;12921;1585,4;0,00%;0,44158;0,5;0,49;1149
11. Create new Account;486;321;288;752;41,52;0,00%;0,12482;0,84;0,17;6928,3
12. Fill Details;486;19032;634;51589;10472,56;0,00%;0,12412;0,4;0,38;3288,4
13. Click my Account;486;2874;650;10937;1590,53;0,00%;0,12427;0,78;0,47;6449,9
14. Delete Order;508;27186;0;65325;11468,46;0,00%;0,12949;0,99;0,16;7800,9
15. Search;455;2907;1755;8109;1136,2;0,00%;0,11607;2,23;0,2;19639,5
16. Select product from Search;455;433;0;5395;244,38;0,00%;0,11622;1,19;0,1;10503,3
JSR223 Sampler - Pacing;2422;0;0;12;0,7;0,00%;0,61738;0;0;0
Timer - End;2421;0;0;2;0,07;0,00%;0,61713;0,07;0;114
Timer - Start;2461;0;0;1;0,05;0,00%;0,62467;0,07;0;114
UC_1_ Buy Products;502;97828;26386;177388;25810,36;29,88%;0,12776;8,65;2,64;69301,2
UC_2_Add to Cart;237;68019;14616;148926;20873,99;29,11%;0,06023;3,2;0,74;54404,9
UC_3_Create new User;486;26423;3605;59621;11233,62;0,00%;0,12374;4,89;1,65;40462,4
UC_4_Search;453;5208;3868;10399;1178,93;0,00%;0,11518;5,94;0,76;52813,1
UC_5_Delete Order;499;61620;19750;131677;17756,93;0,00%;0,12668;4,9;1,21;39647,6
UC_6_Check Order;245;34995;10668;77378;12785,67;0,00%;0,06249;1,94;0,52;31841,9
TOTAL;23088;10426;0;177388;21210,47;2,22%;5,85691;59,38;15,09;10381,7
