Label;# Samples;Average;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
1. Open Homepage;4341;2870;0;21789;1839,64;0,00%;0,64888;14,59;2,73;23026,3
2. Choose Category;1296;1528;0;13952;1212,4;0,00%;0,19462;0,87;0,26;4582,4
3. Choose Product;1295;3099;0;13510;1760,68;0,00%;0,19443;2,88;0,35;15167,5
4. Add to Cart;438;8783;748;51046;9879,83;0,00%;0,06616;0,05;0,05;828,5
5. Click Cart;1292;3213;142;78728;7795,98;5,03%;0,19409;0,41;0,12;2169,9
6. Click Checkoutt;856;149;142;464;11,72;0,00%;0,12865;0,13;0,05;1045
7. Login;2629;16947;0;128864;20435,87;5,29%;0,39317;2,65;1,6;6902
8. Fill Payment;846;18118;0;112246;18925,24;13,00%;0,12707;0,16;0,29;1284,4
9. Check Order;2171;6468;1650;32558;4194,4;0,00%;0,32483;2,03;0,32;6384,7
10. Logout;3010;1787;195;8929;1184,06;0,00%;0,451;0,51;0,5;1149
11. Create new Account;845;316;289;859;43,67;0,00%;0,12663;0,86;0,18;6928,1
12. Fill Details;845;10468;0;63133;10690,77;0,00%;0,12679;0,41;0,39;3283,6
13. Click my Account;844;2130;632;8235;1044,34;0,00%;0,12673;0,8;0,48;6450,1
14. Delete Order;879;19180;0;79892;12251,28;0,00%;0,13163;1,16;0,16;9056
15. Search;856;3198;1733;8955;1290,51;0,00%;0,12819;2,46;0,22;19638,2
16. Select product from Search;856;435;0;768;80,58;0,00%;0,12846;1,32;0,11;10502,3
JSR223 Sampler - Pacing;4294;0;0;13;0,65;0,00%;0,64345;0;0;0
Timer - End;4291;0;0;20;0,55;0,00%;0,64315;0,07;0;114
Timer - Start;4341;0;0;18;0,66;0,00%;0,64892;0,07;0;114
UC_1_ Buy Products;838;60948;12346;208374;43002,37;20,05%;0,12537;8,56;2,59;69903,6
UC_2_Add to Cart;436;40444;8586;153931;28530,77;14,91%;0,06557;3,48;0,81;54275,3
UC_3_Create new User;841;16442;3399;66692;11588,97;0,00%;0,1261;4,98;1,68;40461,1
UC_4_Search;854;5551;3807;11740;1418,5;0,00%;0,12789;6,6;0,85;52812,7
UC_5_Delete Order;876;42337;10197;145630;24400,41;0,00%;0,13095;5,3;1,25;41469,4
UC_6_Check Order;449;23840;6166;95600;14733,54;0,00%;0,06751;2,14;0,56;32392,8
TOTAL;40519;6708;0;208374;15863,2;1,35%;6,05477;62,34;15,51;10543,5
